source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B)
enwik8_1mb.txt,1086844,NoEnc,noZip,Compression First,0.000,0.000,1086844,0.000,0.000,0.000,20.021,0.000,1086877
enwik8_1mb.txt,1086844,Fernet,noZip,Compression First,9.243,0.000,1449208,0.000,8.963,0.501,4.089,1.219,1086877
enwik8_1mb.txt,1086844,NaCl,noZip,Compression First,3.122,0.000,1086884,0.000,6.153,1.000,3.994,0.941,1086877
enwik8_1mb.txt,1086844,AES,noZip,Compression First,21.533,0.000,1086860,0.000,23.396,0.950,4.027,1.000,1086877
enwik8_1mb.txt,1086844,NoEnc,bzip,Compression First,0.000,56.362,301396,25.137,0.000,1.305,4.501,0.976,301429
enwik8_1mb.txt,1086844,Fernet,bzip,Compression First,2.000,58.247,401956,23.965,4.989,1.198,4.323,1.650,301429
enwik8_1mb.txt,1086844,NaCl,bzip,Compression First,1.015,56.738,301436,24.992,3.040,0.000,4.962,0.985,301429
enwik8_1mb.txt,1086844,AES,bzip,Compression First,3.973,56.549,301412,25.072,6.998,1.151,7.208,1.004,301429
enwik8_1mb.txt,1086844,NoEnc,gzip,Compression First,0.000,45.074,380555,3.932,0.000,0.958,5.747,0.944,380588
enwik8_1mb.txt,1086844,Fernet,gzip,Compression First,3.002,44.999,507492,4.023,5.999,0.000,7.716,0.978,380588
enwik8_1mb.txt,1086844,NaCl,gzip,Compression First,1.000,45.127,380595,4.000,3.000,0.805,4.019,1.000,380588
enwik8_1mb.txt,1086844,AES,gzip,Compression First,6.001,47.517,380571,5.021,7.981,0.237,3.832,1.014,380588
enwik8_1mb.txt,1086844,NoEnc,zip,Compression First,1.000,44.294,381650,6.000,0.000,0.000,7.000,1.001,381683
enwik8_1mb.txt,1086844,Fernet,zip,Compression First,2.002,39.796,508964,4.000,5.000,0.992,4.653,1.001,381683
enwik8_1mb.txt,1086844,NaCl,zip,Compression First,1.000,36.999,381690,4.517,3.993,1.000,6.000,0.000,381683
enwik8_1mb.txt,1086844,AES,zip,Compression First,6.015,38.560,381666,7.002,9.660,0.569,4.577,1.003,381683
enwik8_1mb.txt,1086844,NoEnc,noZip,Encryption First,0.000,0.000,1086844,0.000,0.000,0.827,37.573,1.106,1086877
enwik8_1mb.txt,1086844,NoEnc,bzip,Encryption First,0.000,67.572,301396,28.829,0.000,1.150,6.054,0.741,1086877
enwik8_1mb.txt,1086844,NoEnc,gzip,Encryption First,0.000,46.409,380555,3.000,0.000,1.997,3.999,1.993,1086877
enwik8_1mb.txt,1086844,NoEnc,zip,Encryption First,0.000,38.419,381650,4.000,0.000,0.992,9.673,0.993,1086877
enwik8_1mb.txt,1086844,Fernet,noZip,Encryption First,7.006,0.000,1449208,0.000,9.006,0.993,4.001,1.002,1449241
enwik8_1mb.txt,1086844,Fernet,bzip,Encryption First,6.999,85.132,1094570,50.221,10.004,0.000,5.703,1.012,1449241
enwik8_1mb.txt,1086844,Fernet,gzip,Encryption First,6.981,42.945,1097807,4.999,9.059,1.000,6.792,1.009,1449241
enwik8_1mb.txt,1086844,Fernet,zip,Encryption First,6.987,44.005,1097953,5.994,9.003,1.018,10.984,0.000,1449241
enwik8_1mb.txt,1086844,NaCl,noZip,Encryption First,2.038,0.977,1086884,0.989,5.001,0.000,4.008,0.000,1086917
enwik8_1mb.txt,1086844,NaCl,bzip,Encryption First,3.001,78.066,1092301,41.005,4.999,1.019,4.409,1.084,1086917
enwik8_1mb.txt,1086844,NaCl,gzip,Encryption First,3.037,20.038,1087237,0.997,6.064,0.999,3.989,1.348,1086917
enwik8_1mb.txt,1086844,NaCl,zip,Encryption First,2.186,21.005,1087325,1.006,4.998,1.002,8.181,1.147,1086917
enwik8_1mb.txt,1086844,AES,noZip,Encryption First,15.123,0.000,1086860,0.923,18.919,1.664,3.082,1.002,1086893
enwik8_1mb.txt,1086844,AES,bzip,Encryption First,17.234,82.018,1092061,39.950,22.999,0.946,6.056,1.001,1086893
enwik8_1mb.txt,1086844,AES,gzip,Encryption First,18.999,21.322,1087213,1.022,19.997,0.990,5.856,0.000,1086893
enwik8_1mb.txt,1086844,AES,zip,Encryption First,18.998,23.007,1087301,1.009,19.997,0.993,6.001,0.993,1086893
