source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #,total time EXCL. read + write times (ms),total time INCL. read and write times,compression ratio,estimated network time @ 1Mbps (ms),estimated network time @ 5Mbps (ms),estimated network time @ 10Mbps (ms)
enwik8_1mb.txt,1086844,NoEnc,NoZip,Compression First,1.000165939331055,0.0,1086844,0.0,0.9891986846923828,2.9990673065185547,52.00052261352539,14.01662826538086,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,1.000165939331055,53.99298667907715,1.0,8694.752,1738.9504,869.4752
enwik8_1mb.txt,1086844,NoEnc,NoZip,Encryption First,0.9915828704833984,0.0,1086844,1.010894775390625,0.9980201721191406,2.0041465759277344,52.00505256652832,283.5736274719238,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,1.010894775390625,308.8207244873047,1.0,8694.752,1738.9504,869.4752
enwik8_1mb.txt,1086844,NoEnc,bzip,Compression First,1.0080337524414062,113.00420761108398,301396,51.79238319396973,1.0018348693847656,10.001897811889648,14.92619514465332,10.002613067626951,301429,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,149.25265312194824,157.2897434234619,0.277313027444601,2411.168,482.2336,241.1168
enwik8_1mb.txt,1086844,NoEnc,bzip,Encryption First,1.029253005981445,124.79209899902344,301396,59.09037590026856,1.0766983032226562,2.474069595336914,13.091325759887695,7.012367248535156,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,171.71454429626465,181.7300319671631,0.277313027444601,2411.168,482.2336,241.1168
enwik8_1mb.txt,1086844,NoEnc,gzip,Compression First,1.0204315185546875,134.16266441345215,380555,10.077476501464844,0.9996891021728516,39.00361061096192,15.001058578491213,2.9914379119873047,380588,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,140.1658058166504,150.15387535095215,0.3501468472016223,3044.44,608.888,304.444
enwik8_1mb.txt,1086844,NoEnc,gzip,Encryption First,1.0006427764892578,135.00165939331055,380555,12.995481491088867,1.003265380859375,22.00198173522949,13.02957534790039,3.0684471130371094,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,140.00177383422852,149.0001678466797,0.3501468472016223,3044.44,608.888,304.444
enwik8_1mb.txt,1086844,NoEnc,zip,Compression First,1.024484634399414,98.72913360595705,381650,16.068220138549805,0.99945068359375,5.997657775878906,18.00704002380371,30.43961524963379,381683,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,114.06612396240234,127.99763679504396,0.3511543514984671,3053.2,610.64,305.32
enwik8_1mb.txt,1086844,NoEnc,zip,Encryption First,0.0,103.00016403198242,381650,13.988971710205078,1.0004043579101562,2.5975704193115234,19.083738327026367,2.0186901092529297,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,109.99798774719238,123.0168342590332,0.3511543514984671,3053.2,610.64,305.32
enwik8_1mb.txt,1086844,NoEnc,lzma,Compression First,1.007795333862305,421.27013206481934,309224,35.001516342163086,0.9996891021728516,6.0024261474609375,12.130498886108398,153.07331085205078,309257,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,438.3697509765625,447.8781223297119,0.2845155330479811,2473.792,494.7584000000001,247.37920000000005
enwik8_1mb.txt,1086844,NoEnc,lzma,Encryption First,0.9927749633789062,428.37071418762207,309224,31.061887741088867,1.0218620300292969,16.999006271362305,15.946626663208008,2.833127975463867,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,444.51284408569336,450.5171775817871,0.2845155330479811,2473.792,494.7584000000001,247.37920000000005
enwik8_1mb.txt,1086844,Fernet,NoZip,Compression First,17.98391342163086,1.0085105895996094,1449208,1.0058879852294922,19.25516128540039,2.0186901092529297,10.08892059326172,2.00653076171875,1086877,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,29.999971389770508,38.99431228637695,1.3334093945405228,11593.664,2318.7328,1159.3664
enwik8_1mb.txt,1086844,Fernet,NoZip,Encryption First,19.1495418548584,1.006364822387695,1449208,1.0170936584472656,24.021148681640625,23.94318580627441,13.940095901489258,41.97859764099121,1449241,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,44.00038719177246,99.01022911071776,1.3334093945405228,11593.664,2318.7328,1159.3664
enwik8_1mb.txt,1086844,Fernet,bzip,Compression First,18.0056095123291,110.548734664917,401956,49.979448318481445,12.020587921142578,1.9948482513427732,15.431404113769531,20.003795623779297,301429,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,163.2392406463623,173.24280738830566,0.3698378056096367,3215.648,643.1296,321.5648
enwik8_1mb.txt,1086844,Fernet,bzip,Encryption First,19.99783515930176,178.00664901733398,1095042,100.2035140991211,23.00024032592773,2.0117759704589844,11.940479278564451,2.086877822875977,1449241,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,298.2902526855469,307.01684951782227,1.0075429408452363,8760.336,1752.0672,876.0336
enwik8_1mb.txt,1086844,Fernet,gzip,Compression First,9.85860824584961,128.54242324829102,507492,13.005256652832031,18.00537109375,1.0330677032470703,16.000032424926758,2.022027969360352,380588,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,150.54082870483398,160.54129600524902,0.4669409777300146,4059.936,811.9871999999999,405.9936
enwik8_1mb.txt,1086844,Fernet,gzip,Encryption First,19.00029182434082,117.99860000610352,1097907,15.069961547851562,27.162790298461918,2.0334720611572266,11.05952262878418,2.010107040405273,1449241,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,150.99835395812988,163.99836540222168,1.0101790137315014,8783.256,1756.6512,878.3256
enwik8_1mb.txt,1086844,Fernet,zip,Compression First,5.962610244750977,102.93102264404295,508964,12.986183166503906,14.06574249267578,2.9785633087158203,15.945911407470703,12.04228401184082,381683,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,120.93138694763184,135.9395980834961,0.4682953579354534,4071.712,814.3424,407.1712
enwik8_1mb.txt,1086844,Fernet,zip,Encryption First,20.07317543029785,111.94252967834473,1097986,16.00050926208496,22.000551223754883,2.00796127319336,18.004655838012695,31.51893615722656,1449241,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,148.10991287231445,158.99395942687988,1.010251701256114,8783.888,1756.7776,878.3888000000001
enwik8_1mb.txt,1086844,Fernet,lzma,Compression First,62.00742721557617,449.8152732849121,412388,31.27932548522949,12.028932571411133,30.00068664550781,11.082887649536133,47.34611511230469,309257,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,497.3878860473633,509.4141960144043,0.379436239239486,3299.104,659.8208000000001,329.91040000000004
