source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #,total time EXCL. read + write times (ms),total time INCL. read and write times,compression ratio,estimated network time @ 1Mbps (ms),estimated network time @ 5Mbps (ms),estimated network time @ 10Mbps (ms)
enwik8_1mb.txt,1086844.0,NoEnc,NoZip,Compression First,0.010001659393310549,0.0,1086844.0,0.0,0.009891986846923828,1.0006380081176758,30.679941177368164,0.9987735748291016,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,0.01989364624023438,32.699246406555176,1.0,8694.752000000002,1738.9504000000004,869.4752000000002
enwik8_1mb.txt,1086844.0,NoEnc,NoZip,Encryption First,0.009915828704833984,0.0,1086844.0,0.030047893524169922,0.019905567169189453,0.9469294548034668,29.900121688842773,3.5611772537231445,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,0.05986928939819336,34.46809768676758,1.0,8694.752000000002,1738.9504000000004,869.4752000000002
enwik8_1mb.txt,1086844.0,NoEnc,bzip,Compression First,0.0499725341796875,70.70674657821655,301396.0,29.69836950302124,0.09788751602172852,0.9668707847595215,7.166998386383057,0.9830284118652344,301429.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,100.55297613143921,109.66987371444702,0.2773130274446011,2411.1680000000006,482.23359999999985,241.11679999999993
enwik8_1mb.txt,1086844.0,NoEnc,bzip,Encryption First,0.020389556884765625,74.32648420333862,301396.0,30.436522960662842,0.06510257720947266,0.8295106887817383,7.357447147369385,1.0656976699829102,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,104.8484992980957,114.10115480422974,0.2773130274446011,2411.1680000000006,482.23359999999985,241.11679999999993
enwik8_1mb.txt,1086844.0,NoEnc,gzip,Compression First,0.18988847732543945,65.07132291793823,380555.0,4.3753981590271,0.01970529556274414,0.926659107208252,7.135112285614014,0.7180404663085938,380588.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,69.65631484985352,78.43612670898438,0.3501468472016223,3044.44,608.8879999999999,304.44399999999996
enwik8_1mb.txt,1086844.0,NoEnc,gzip,Encryption First,0.019996166229248047,65.82031488418579,380555.0,4.423320293426514,0.06003141403198242,1.1465263366699219,6.575610637664795,0.7669901847839355,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,70.32366275787354,78.81278991699219,0.3501468472016223,3044.44,608.8879999999999,304.44399999999996
enwik8_1mb.txt,1086844.0,NoEnc,zip,Compression First,0.1900029182434082,50.45496702194214,381650.0,4.832611083984375,0.019865036010742188,0.6726503372192383,10.674729347229004,0.9804964065551758,381683.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,55.497446060180664,67.82532215118408,0.35115435149846697,3053.2000000000007,610.6400000000001,305.32000000000005
enwik8_1mb.txt,1086844.0,NoEnc,zip,Encryption First,0.0,53.044047355651855,381650.0,5.010275840759277,0.04987478256225586,0.7930088043212891,10.315160751342773,0.7509875297546387,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,58.10419797897339,69.96335506439209,0.35115435149846697,3053.2000000000007,610.6400000000001,305.32000000000005
enwik8_1mb.txt,1086844.0,NoEnc,lzma,Compression First,0.293121337890625,296.4631938934326,309224.0,15.05258560180664,0.019631385803222656,0.7441568374633789,7.1300506591796875,2.360219955444336,309257.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,311.8285322189331,322.0629596710205,0.28451553304798105,2473.792,494.75839999999994,247.37919999999997
enwik8_1mb.txt,1086844.0,NoEnc,lzma,Encryption First,0.009927749633789062,297.2315049171448,309224.0,14.61292028427124,0.09050607681274414,1.0691070556640625,7.234082221984863,0.9079360961914062,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,311.94485902786255,321.1559844017029,0.28451553304798105,2473.792,494.75839999999994,247.37919999999997
enwik8_1mb.txt,1086844.0,Fernet,NoZip,Compression First,8.607795238494873,0.030059814453125,1449208.0,0.09992837905883789,11.405625343322754,0.7790637016296387,6.758139133453369,0.7782483100891113,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,20.14340877532959,28.45885992050171,1.333409394540523,11593.664000000006,2318.7328000000007,1159.3664000000003
enwik8_1mb.txt,1086844.0,Fernet,NoZip,Encryption First,8.46400260925293,0.14970779418945312,1449208.0,0.1490616798400879,11.85065507888794,1.3798093795776367,7.3677873611450195,2.346651554107666,1449241.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,20.61342716217041,31.707675457000732,1.333409394540523,11593.664000000006,2318.7328000000007,1159.3664000000003
enwik8_1mb.txt,1086844.0,Fernet,bzip,Compression First,3.0688929557800293,69.8677921295166,401956.0,30.220584869384766,6.6226983070373535,0.6379055976867676,8.051416873931885,1.1810636520385742,301429.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,109.77996826171875,119.65035438537598,0.3698378056096366,3215.6479999999997,643.1296000000001,321.56480000000005
enwik8_1mb.txt,1086844.0,Fernet,bzip,Encryption First,8.28503131866455,109.43490505218506,1094531.32,60.806119441986084,12.743654251098633,1.0099244117736816,6.841752529144287,0.9553337097167969,1449241.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,191.26971006393433,200.0767207145691,1.007073066603855,8756.25056,1751.2501120000002,875.6250560000001
enwik8_1mb.txt,1086844.0,Fernet,gzip,Compression First,3.373551368713379,64.51518535614014,507492.0,4.331374168395996,7.047252655029297,0.6418347358703613,7.8728413581848145,0.8408379554748535,380588.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,79.26736354827881,88.62287759780884,0.46694097773001436,4059.936,811.9871999999999,405.9936
enwik8_1mb.txt,1086844.0,Fernet,gzip,Encryption First,8.119733333587646,62.132041454315186,1097840.97,6.2764787673950195,12.584483623504639,0.9723949432373047,6.56991720199585,0.8725523948669434,1449241.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,89.11273717880249,97.52760171890259,1.010118259842259,8782.727760000002,1756.545552,878.272776
enwik8_1mb.txt,1086844.0,Fernet,zip,Compression First,3.323647975921631,51.6566801071167,508964.0,4.966278076171875,7.0227837562561035,0.6261253356933594,8.020944595336914,0.8219003677368164,381683.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,66.96938991546631,76.4383602142334,0.46829535793545324,4071.712,814.3423999999997,407.1711999999998
enwik8_1mb.txt,1086844.0,Fernet,zip,Encryption First,8.063116073608398,63.62947702407837,1097933.56,6.505985260009766,12.67460584640503,1.1078476905822754,10.106475353240967,1.1853742599487305,1449241.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,90.87318420410156,103.27288150787354,1.0102034514612952,8783.468480000001,1756.693696,878.346848
enwik8_1mb.txt,1086844.0,Fernet,lzma,Compression First,4.616153240203857,295.45026779174805,412388.0,15.144126415252686,6.335892677307129,0.8223509788513184,8.103108406066895,1.3044452667236328,309257.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,321.5464401245117,331.77634477615356,0.37943623923948616,3299.104,659.8208000000002,329.9104000000001
enwik8_1mb.txt,1086844.0,Fernet,lzma,Encryption First,8.574988842010498,277.5770092010498,1110324.48,55.31768083572388,12.759695053100586,1.0644960403442383,6.715714931488037,0.9610152244567871,1449241.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,354.22937393188477,362.9706001281738,1.0216042780748662,8882.59584,1776.5191680000003,888.2595840000001
enwik8_1mb.txt,1086844.0,NaCl,NoZip,Compression First,3.2401466369628906,0.0,1086884.0,0.07259607315063477,6.378014087677002,0.6291580200195312,5.961709022521973,0.7853889465332031,1086877.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,9.690756797790527,17.067012786865234,1.0000368038099305,8695.072000000002,1739.0143999999991,869.5071999999996
enwik8_1mb.txt,1086844.0,NaCl,NoZip,Encryption First,3.2608628273010254,0.2785205841064453,1086884.0,0.1396632194519043,7.254133224487305,1.114509105682373,6.770515441894531,0.880734920501709,1086917.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,10.93317985534668,19.698939323425293,1.0000368038099305,8695.072000000002,1739.0143999999991,869.5071999999996
enwik8_1mb.txt,1086844.0,NaCl,bzip,Compression First,1.021406650543213,71.94381475448608,301436.0,30.826551914215088,5.507516860961914,0.5624961853027344,7.619144916534424,1.0342192649841309,301429.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,109.2992901802063,118.51515054702759,0.2773498312545315,2411.4880000000007,482.2975999999999,241.14879999999994
enwik8_1mb.txt,1086844.0,NaCl,bzip,Encryption First,3.2300209999084473,109.24534559249878,1092077.56,48.55897903442383,7.674241065979004,1.8444204330444336,6.8264079093933105,0.7894134521484375,1086917.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,168.70858669281006,178.16882848739624,1.0048153736874843,8736.620480000001,1747.3240960000007,873.6620480000004
enwik8_1mb.txt,1086844.0,NaCl,gzip,Compression First,1.2206268310546875,63.610827922821045,380595.0,4.291374683380127,5.903534889221191,0.5326747894287109,7.631568908691406,0.8007383346557617,380588.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,75.02636432647705,83.99134635925293,0.35018365101155274,3044.760000000001,608.952,304.476
enwik8_1mb.txt,1086844.0,NaCl,gzip,Encryption First,3.2931017875671387,29.700322151184082,1087237.0,1.2155938148498535,7.3837971687316895,1.3249015808105469,6.9841814041137695,1.553347110748291,1086917.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,41.592814922332764,51.45524501800537,1.000361597432566,8697.896,1739.5792000000001,869.7896000000001
enwik8_1mb.txt,1086844.0,NaCl,zip,Compression First,1.1874032020568848,49.93475914001465,381690.0,5.095930099487305,5.5017828941345215,0.6505846977233887,8.260319232940674,0.7515811920166016,381683.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,61.71987533569336,71.38236045837402,0.3511911553083975,3053.5200000000004,610.7039999999997,305.35199999999986
enwik8_1mb.txt,1086844.0,NaCl,zip,Encryption First,3.087470531463623,31.578450202941895,1087325.0,1.8835949897766113,7.001125812530518,1.1068487167358398,10.08162260055542,1.2038588523864746,1086917.0,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,43.55064153671265,55.94297170639038,1.0004425658144134,8698.6,1739.72,869.86
